norad_id,object_id_hash,name,international_designator,epoch,mean_motion_rev_per_day,eccentricity,inclination_deg,ra_of_asc_node_deg,arg_of_pericenter_deg,mean_anomaly_deg,ephemeris_type,classification_type_from_celestrak,source_match_method,operator,users,purpose,detailed_purpose,country_operator,country_registry,orbit_class_from_ucs,orbit_type_from_ucs,launch_date_from_ucs,sensitivity_label,confidence,classification_reason,display_policy,important_note
900,2022511b142b,CALSPHERE 1,1964-063C,2026-05-03T19:42:31.995360,13.76571396,0.0028515,90.2224,70.7251,67.2753,324.9847,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_2022511b142b"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
902,01fa5e0b1dd2,CALSPHERE 2,1964-063E,2026-05-03T21:03:00.569952,13.52896915,0.0018677,90.2355,74.7298,2.5283,57.3361,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_01fa5e0b1dd2"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
1361,d51bfe117987,LCS 1,1965-034C,2026-05-03T20:13:09.255936,9.89310191,0.001308,32.1429,282.3203,323.8875,36.0738,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_d51bfe117987"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
1512,d4a54502373b,TEMPSAT 1,1965-065E,2026-05-03T11:37:37.731936,13.33591903,0.00699798,90.0011,212.585,15.8705,356.3259,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_d4a54502373b"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
1520,9e39b8f37ce5,CALSPHERE 4A,1965-065H,2026-05-03T19:46:55.963776,13.36269839,0.0068122,89.8962,122.9296,227.6385,207.4256,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_9e39b8f37ce5"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
2826,b450aed3c2b6,OPS 5712 (P/L 160),1967-053A,2026-05-03T20:04:46.151328,14.77101489,0.0001988,69.9149,146.9445,249.1918,110.9016,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_b450aed3c2b6"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
2866,45739dbe31b6,LES-5,1967-066E,2026-05-03T20:02:17.926944,1.09425135,0.0053801,2.5215,97.6447,212.5937,196.1891,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_45739dbe31b6"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
2872,7b2014195079,SURCAL 159,1967-053F,2026-05-03T15:12:42.506784,13.99591739,0.0007175,69.9725,96.7657,196.7878,163.2993,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_7b2014195079"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
2874,5ccecd7cabe6,OPS 5712 (P/L 153),1967-053H,2026-05-03T15:41:35.027232,13.96821783,0.0010021,69.9743,210.758,257.7893,102.2091,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_5ccecd7cabe6"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
5204,9e71abd0aa4b,OPS 3811 (DSP 2),1971-039A,2026-05-03T19:29:26.143296,0.98161768,0.0021777,0.2864,31.607,262.8234,248.2108,0,U,unmatched,,,,,,,,,,unknown_sensitive,0.55,No UCS match found; purpose/operator unknown from this dataset,"{""safe_to_display_full_details"": false, ""redaction_level"": ""medium"", ""display_name"": ""restricted_object_9e71abd0aa4b"", ""show_exact_orbit"": false, ""show_operator"": false, ""show_purpose"": true, ""allowed_fields"": [""object_id_hash"", ""norad_id"", ""orbit_class"", ""general_purpose"", ""sensitivity_label"", ""confidence""]}","This is an information-handling risk label based on public metadata, not an official classified/unclassified determination."
